Treatment	Replicate	Timepoint	Sample
A_S_0_5	S	A	0.5	S_0_5
A_S_1	S	A	1	S_1
A_S_2	S	A	2	S_2
A_S_3	S	A	3	S_3
A_S_4	S	A	4	S_4
A_S_5	S	A	5	S_5
A_S_6	S	A	6	S_6
A_S_8	S	A	8	S_8
A_S_12	S	A	12	S_12
A_S_24	S	A	24	S_24
A_V_0_5	V	A	0.5	V_0_5
A_V_1	V	A	1	V_1
A_V_2	V	A	2	V_2
A_V_3	V	A	3	V_3
A_V_4	V	A	4	V_4
A_V_5	V	A	5	V_5
A_V_6	V	A	6	V_6
A_V_8	V	A	8	V_8
A_V_12	V	A	12	V_12
A_V_24	V	A	24	V_24
A_C_0_5	C	A	0.5	C_0_5
A_C_1	C	A	1	C_1
A_C_2	C	A	2	C_2
A_C_3	C	A	3	C_3
A_C_4	C	A	4	C_4
A_C_5	C	A	5	C_5
A_C_6	C	A	6	C_6
A_C_8	C	A	8	C_8
A_C_12	C	A	12	C_12
A_C_24	C	A	24	C_24
B_S_0_5	S	B	0.5	S_0_5
B_S_1	S	B	1	S_1
B_S_2	S	B	2	S_2
B_S_3	S	B	3	S_3
B_S_4	S	B	4	S_4
B_S_5	S	B	5	S_5
B_S_6	S	B	6	S_6
B_S_8	S	B	8	S_8
B_S_12	S	B	12	S_12
B_S_24	S	B	24	S_24
B_V_0_5	V	B	0.5	V_0_5
B_V_1	V	B	1	V_1
B_V_2	V	B	2	V_2
B_V_3	V	B	3	V_3
B_V_4	V	B	4	V_4
B_V_5	V	B	5	V_5
B_V_6	V	B	6	V_6
B_V_8	V	B	8	V_8
B_V_12	V	B	12	V_12
B_V_24	V	B	24	V_24
B_C_0_5	C	B	0.5	C_0_5
B_C_1	C	B	1	C_1
B_C_2	C	B	2	C_2
B_C_3	C	B	3	C_3
B_C_4	C	B	4	C_4
B_C_5	C	B	5	C_5
B_C_6	C	B	6	C_6
B_C_8	C	B	8	C_8
B_C_12	C	B	12	C_12
B_C_24	C	B	24	C_24
C_S_0_5	S	C	0.5	S_0_5
C_S_1	S	C	1	S_1
C_S_2	S	C	2	S_2
C_S_3	S	C	3	S_3
C_S_4	S	C	4	S_4
C_S_5	S	C	5	S_5
C_S_6	S	C	6	S_6
C_S_8	S	C	8	S_8
C_S_12	S	C	12	S_12
C_S_24	S	C	24	S_24
C_V_0_5	V	C	0.5	V_0_5
C_V_1	V	C	1	V_1
C_V_2	V	C	2	V_2
C_V_3	V	C	3	V_3
C_V_4	V	C	4	V_4
C_V_5	V	C	5	V_5
C_V_8	V	C	8	V_8
C_V_12	V	C	12	V_12
C_V_24	V	C	24	V_24
C_C_0_5	C	C	0.5	C_0_5
C_C_1	C	C	1	C_1
C_C_4	C	C	4	C_4
C_C_5	C	C	5	C_5
C_C_6	C	C	6	C_6
C_C_8	C	C	8	C_8
C_C_12	C	C	12	C_12
C_C_24	C	C	24	C_24
