baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	491.510434884602	0.0548566380460443	0.110146065127564	3.6641317497257	0.45336422928676	0.664615018822816
FBgn0000017	2866.48396580713	0.00604128582704619	0.0916864591890248	6.60902215195824	0.158049419099396	0.380335642097347
FBgn0000018	183.76873876146	-0.0235779303423595	0.133651505462188	3.70139087912446	0.447923660764233	0.660826551843636
FBgn0000024	5259.17860828105	0.0476942120948365	0.0871008551393952	10.1313343849407	0.0382725385494554	0.178770467667343
FBgn0000028	306.90138324931	-0.196826891016168	0.13515325239584	4.9423133210172	0.293267889063877	0.528421257239107
FBgn0000032	300.034420740636	-0.139984426238353	0.105479811659775	4.65798237687147	0.324223600324902	0.556808059712902
FBgn0000036	1620.18756414289	-0.0986297670639159	0.116007056491525	7.54572601285827	0.109709790186486	0.312309014651763
FBgn0000037	1840.60270972037	-0.0200798133474162	0.0930225767693716	4.22525423734942	0.376378491196788	0.603618367573616
FBgn0000038	7323.20138955721	-0.0874034458172615	0.104608810450428	7.5005271119071	0.111686051654841	0.315313906158207
FBgn0000039	773.444850723899	-0.0256973005066914	0.0797937437769155	3.92638728494023	0.416059906742038	0.635212950682471
FBgn0000042	20639.2720550256	0.0326418100223843	0.0865623393992092	5.24184566781491	0.263370389079861	0.502316670718051
FBgn0000043	555.785409625873	0.0552103587066563	0.126519971009825	0.565060335267162	0.966866018090756	0.983876404785484
FBgn0000044	25999.512643062	0.166666748452159	0.104955517312556	6.6187914330967	0.157457763136972	0.379822359959908
FBgn0000045	375.852906570168	0.801205685157686	0.382614910050436	17.7705237770318	0.00136825792112746	0.0207660472594899
FBgn0000046	2626.11587334974	0.271296664008088	0.089571542855418	12.7792753798415	0.0124061993560274	0.0899630869107501
FBgn0000047	65.0232279871302	-0.174046440886058	0.347172266278575	0.8666557937633	0.929295082796898	0.961563670876451
FBgn0000052	2893.07279447624	-0.237669348540785	0.219391383752764	9.2497706500817	0.0551507593912254	0.218544269647355
FBgn0000053	5939.74906378842	-0.279277009419457	0.214572834450847	6.83119834708566	0.14508207886898	0.364036595560292
FBgn0000057	664.991635990735	-0.196775045360512	0.0781347863906195	17.8188246809428	0.00133887269223933	0.0204235531118333
FBgn0000063	32.9377731325352	-0.296132177147163	0.230825218428122	2.11254954899283	0.715067174286481	0.834460826899498
FBgn0000064	33721.5920637751	-0.0966502042440329	0.082532239427685	4.16107894214224	0.384644889035253	0.609206746316498
FBgn0000075	156.152651792637	0.383885196678098	0.171722917049148	8.68750536332186	0.0694030457096028	0.247813091190244
FBgn0000077	235.856158164562	0.132904096624854	0.110908131409342	2.20533702138471	0.698052298180711	0.823158613936331
FBgn0000078	213.071571989427	-0.584318165295446	0.623548890905087	17.1807466577957	0.00178272263726788	0.0248233122778829
FBgn0000079	127.322094899203	-0.986275728994447	0.941482697381427	25.7855085238232	3.49571744151693e-05	0.00149681199001065
FBgn0000083	5247.51012829663	0.0273747006404317	0.092489338135925	15.4753852283931	0.00381030339288142	0.0417744441238992
FBgn0000084	2834.60156282491	0.117057362521257	0.12303054108462	12.1695241771827	0.0161341716160596	0.104959358681835
FBgn0000092	27.4472680615014	-0.189146114295893	0.278054474520173	3.55630984726895	0.469368120727729	0.676909539877532
FBgn0000097	1159.70999927727	-0.0399744234513888	0.0721317666798839	5.32483389855201	0.25556112755684	0.494273360504776
FBgn0000100	27739.1481364187	-0.130291219375981	0.110268091093596	9.21495383453293	0.055945568821222	0.220242961376041
FBgn0000108	15626.1815623843	-0.0761817475662618	0.0788304148273864	4.42068829037055	0.352055655575577	0.583372016915011
FBgn0000109	235.647625372269	-0.191519053849923	0.155796820608509	3.12088468854779	0.53780334790703	0.724809500846173
FBgn0000114	1372.94351518788	-0.156098831015799	0.0924418221115145	3.36728699657726	0.498342287987172	0.696970537052396
FBgn0000115	454.283806755033	0.0352274079218585	0.0920089397271877	1.84674350316732	0.763920169770387	0.86571862494828
