groupV.NS1	groupV.NS2	groupV.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0039849	-0.856283035220386	-2.05872409225228	-1.90377734495372	4.38953541034271	41.7163889429871	4.99376168167247e-14	4.50786867004574e-10
FBgn0033458	2.12141943023202	-0.963341636190012	-1.45662304553386	2.24681516263931	39.1872157138753	1.57833770758516e-13	7.12382724318561e-10
FBgn0039678	0.038229658022169	1.29926595120453	2.37159977063807	10.0092455456321	32.2368894591444	4.93743549020107e-12	1.24158483153376e-08
FBgn0030589	0.861763980279323	1.08220826525973	1.38310411969498	5.17635119470864	32.0325903674198	5.50164985724496e-12	1.24158483153376e-08
FBgn0038799	-1.68777327116439	-1.49546506318265	-0.061347609783624	6.05093370682282	31.150262302083	8.82354066714308e-12	1.37075566966386e-08
FBgn0033518	-3.82719921959326	-2.12218083649296	-0.648082134925798	3.68284161856155	31.09093293015	9.11103801704129e-12	1.37075566966386e-08
FBgn0003390	2.8487416583585	0.419357073746385	-0.60204408433365	4.25498682860284	27.8401204749471	5.61201492255226e-11	6.40572602566336e-08
FBgn0267348	-1.3731628554516	-1.82301688507334	-0.676637882925546	5.74902828689456	27.8202418816288	5.67694784594072e-11	6.40572602566336e-08
FBgn0040609	-5.30237189424631	-5.09057687989005	0.37201255581228	4.51900225698088	26.4136114389069	1.29771242711326e-10	1.3016055643946e-07
FBgn0037835	-0.746868768400225	-0.786532618123241	-0.974088553664403	6.16999445149573	26.1077376946858	1.55861476029389e-10	1.40696154411729e-07
FBgn0010591	-1.31756020696958	-1.53866730343688	-0.647336041736879	6.65794068602538	25.9135443934133	1.75199321740618e-10	1.43774934304778e-07
FBgn0266406	-3.68326009139115	-3.81596029641338	-1.8438170235582	5.06216850574565	25.0409695694507	2.98213132851655e-10	2.24330829187658e-07
FBgn0040340	-1.35546767554758	-2.01442224961983	0.263126275486203	6.08537134687156	23.4844582903102	7.911284147451e-10	5.16967529808293e-07
FBgn0030156	0.457493248493484	0.739928962521216	0.735038854709299	4.1280258023411	23.4635373937521	8.01766413793741e-10	5.16967529808293e-07
FBgn0270926	-1.65000450520867	-2.70630047675144	-0.484109869603544	6.25298335356285	23.2505055170808	9.18926323893645e-10	5.30455051376189e-07
FBgn0037612	1.27297885886573	2.21605845596292	1.13672895494117	5.74832888314318	23.2148456183878	9.40210570734355e-10	5.30455051376189e-07
FBgn0035121	-0.92818791665109	-1.70178970340801	0.0251374552124371	7.40881597360614	23.0454290568702	1.04854178452843e-09	5.56775687584595e-07
FBgn0019952	0.0612463062897014	-1.04473767446535	-0.905107197664446	5.77903512046937	19.8720986019778	8.8096329915318e-09	4.20552609350696e-06
FBgn0286786	-0.0337166312935071	-2.02973800508261	0.572191622905307	3.81684082423646	19.8652600405458	8.85177753147582e-09	4.20552609350696e-06
FBgn0050035	0.791787346341202	-0.342164746057293	-0.72601084585058	8.5673000247498	19.7855518587804	9.35870848091320e-09	4.22405307286017e-06
FBgn0085359	1.81364686926691	1.57109387921603	0.864198379252607	6.04349146457114	19.5508810127885	1.10334375265943e-08	4.7428019310746e-06
FBgn0263607	-0.660896113461848	-1.33646408885461	-1.03680867389865	4.6293080470591	19.4263850180569	1.2045280220903e-08	4.94239747973142e-06
FBgn0052195	0.622411354391042	-0.217436933006015	-0.917008951078783	3.31858040669043	19.1404441178145	1.47505520980671e-08	5.65784667451289e-06
FBgn0286051	-0.196861467617119	-1.03430771857604	0.182655484703032	4.78379231472239	19.1129005125611	1.50424637408119e-08	5.65784667451289e-06
FBgn0003716	0.306621645697153	-0.526185138668311	-0.35530376145026	6.07858544160095	18.9353046967953	1.70742820510375e-08	6.16518176298861e-06
FBgn0039109	-0.536016028191287	-0.718326682088659	-0.478021028330768	5.43504500924381	18.7193893362802	1.99336237687311e-08	6.92080083693599e-06
FBgn0013770	0.410610444778139	0.486861395036816	-0.558246790362295	9.44045012373577	18.637919970676	2.11377514828443e-08	7.05726698275047e-06
FBgn0038407	1.27473579276025	0.229120363220694	0.0924267340124567	6.55204172289218	18.5894136969943	2.18902709113784e-08	7.05726698275047e-06
FBgn0036428	1.68205258375638	-0.389143725983691	0.0048156513548697	8.2383009633378	18.4171251790996	2.47954151128875e-08	7.59270770941647e-06
FBgn0011509	-0.615666126881061	-1.37840342667486	-0.271872521226623	4.40873302050064	18.3929844343563	2.52333257208922e-08	7.59270770941647e-06
FBgn0025684	-0.183271514092184	-0.857984558658964	-0.266640301667336	4.49334659043362	17.73699127019	4.07828517486728e-08	1.1875703314041e-05
FBgn0029148	-0.106526119872872	-1.72770171041859	0.373698209717307	3.91825927047545	17.6055999454693	4.49454700077393e-08	1.26788361799957e-05
FBgn0033519	-4.13600132780322	-2.00807311927446	-0.745825276955506	1.19700312869803	17.4454539562055	5.06216490437953e-08	1.38473219975255e-05
FBgn0002780	-0.206168291191385	-1.4152024791561	0.183689795831529	6.50616576003089	17.2612116955157	5.80816443845299e-08	1.51123658725624e-05
FBgn0034390	-1.45246009473695	-1.04280809792118	1.24839805232498	6.57154715026695	17.2494605026477	5.85945281422049e-08	1.51123658725624e-05
FBgn0038914	-2.92584539516623	-2.53848830970257	-0.863155250154893	8.97259179204039	17.0394370590207	6.85971408050626e-08	1.72007330568694e-05
FBgn0263402	-1.85724681511284	-2.08584076310549	-2.01561070471653	2.69463126001884	16.9168925815272	7.52364784234847e-08	1.79255166018279e-05
FBgn0086357	-1.14530234305232	-1.62554103494405	-0.720087167549459	8.17011360659329	16.9129796748786	7.54591371296622e-08	1.79255166018279e-05
FBgn0039637	0.280588610608521	-0.0655249448833203	-0.372561189703565	6.0712790257825	16.6964286156797	8.8910970328138e-08	2.02813052018946e-05
FBgn0038095	0.828502038988255	-0.247400250819754	-2.96418056600823	0.650651407508401	16.6823183020941	8.98695256536816e-08	2.02813052018946e-05
FBgn0036547	-0.309241517606287	-1.36654522573362	-0.855488890944518	5.7817538945767	16.6271612996168	9.3720497897641e-08	2.06345105980977e-05
FBgn0047135	-1.35733448359292	-1.92249922798085	-0.492906202698499	7.16030650953664	16.5177838223798	1.01871490461444e-07	2.18950939141775e-05
FBgn0259236	1.79362463303751	0.0973433929066978	-0.390588197721332	3.30005871414054	16.4480536491905	1.07448494300055e-07	2.24776001952403e-05
FBgn0010015	0.491133038768261	0.442833119546441	0.751330366244067	3.5673674228045	16.4226061839415	1.09561804430107e-07	2.24776001952403e-05
FBgn0037467	-0.324409019944776	-0.70423039312521	-0.31583987389819	5.5473593058827	16.3326596512507	1.17383294840999e-07	2.35470889451044e-05
FBgn0031148	0.825967950060336	0.415992378108712	0.960835999846084	4.40568646904581	16.213288582495	1.2866707408887e-07	2.52495147347876e-05
FBgn0035827	-0.50023734479874	-1.26127435955096	-0.286621277100122	4.06868453797584	16.1525176630608	1.34837928308807e-07	2.58974889115659e-05
FBgn0036770	0.343694189598828	-0.944753885483671	-0.424860121311173	4.98729022236728	16.0946956505157	1.40994438075292e-07	2.65157665105345e-05
FBgn0038183	-0.0866009884469808	-0.980442494104749	0.245706458344822	3.76579825000249	15.9576181185231	1.56782079994836e-07	2.88830986961915e-05
FBgn0035039	-0.505120587561457	-1.1684673131634	-0.655200850429583	3.71559851346393	15.8553617737111	1.69745709449597e-07	3.06458903840303e-05
FBgn0052626	0.719082683112471	0.110518380849359	-0.178917568654444	8.1859109318101	15.8118507555067	1.75594291376429e-07	3.10801895736279e-05
FBgn0030041	-2.34768927844729	-2.53731467789005	-0.392816547245319	8.76833343462065	15.7636092440271	1.82323554197068e-07	3.1141045725519e-05
FBgn0035909	-0.947178009692308	-1.22446626616892	-0.281871819245489	6.43474588252339	15.7497181298525	1.84310404633436e-07	3.1141045725519e-05
FBgn0083984	-1.63801934760094	-1.3381454431301	-0.850790201637554	3.80676875373697	15.7360490616994	1.86287412116764e-07	3.1141045725519e-05
FBgn0000057	-0.575534068989375	-0.80277771330031	-0.432588808304595	5.10689992964886	15.619209410859	2.04110262164228e-07	3.20443676462657e-05
FBgn0061492	-1.05155479373593	-1.53189631253213	-0.409485817283853	4.92016545817658	15.614854848906	2.04807716116733e-07	3.20443676462657e-05
FBgn0020389	-1.04475620004244	-1.46792092989322	0.223407749673456	5.7570174593996	15.599460517736	2.07293237153891e-07	3.20443676462657e-05
FBgn0034068	0.155308056007081	-0.0941908996010409	-0.339477783002638	5.92220023988245	15.592119188001	2.08489536592783e-07	3.20443676462657e-05
FBgn0038820	0.34198522098507	1.46107936611901	1.62398246178368	7.56904341073003	15.586315644244	2.09440311413501e-07	3.20443676462657e-05
FBgn0000565	-0.139743954516204	-1.98660026065987	-0.970190723475831	6.490429806758	15.5159678371443	2.2132921622223e-07	3.27562622394358e-05
FBgn0025620	-1.28881964539207	-1.23501905836386	-0.170820719717489	7.21675314099633	15.5158447842592	2.21350614446171e-07	3.27562622394358e-05
FBgn0032005	-0.313518151388692	-0.135118446744862	-0.388143205674774	6.25160600300664	15.4912197982126	2.25676218413906e-07	3.28577294132633e-05
FBgn0031110	0.350825097489359	1.47092734751329	1.39427816325847	4.54180970734957	15.4146196231317	2.39700688431787e-07	3.43456843567261e-05
FBgn0031913	-1.37955778861709	-2.0404792159863	-0.951363187272806	7.50983930175548	15.3586844088792	2.50510314658794e-07	3.53336970378895e-05
FBgn0044452	0.234818089942641	-0.570624989803825	-0.810546668303079	7.28594543430851	15.1980964543271	2.84442882015901e-07	3.95025522455006e-05
FBgn0040099	2.81357569595338	0.349607999112721	0.129585411060007	5.99641138587408	15.1354299901436	2.98946601178553e-07	4.0887741952103e-05
FBgn0032322	-1.49536156922942	-1.51894762843539	0.406586761560305	6.34474835466092	15.0796088930647	3.12511476442414e-07	4.21050910126219e-05
FBgn0266452	-0.0480524493191343	-0.692295173552351	0.124773112009673	5.5112730313276	15.0124001271557	3.29694331380277e-07	4.32553647036625e-05
FBgn0039856	0.00982923861036506	0.758404143378018	1.10760486549899	6.0054972846186	15.0088355650178	3.3063256503298e-07	4.32553647036625e-05
FBgn0039543	-0.340975273790325	-0.574195818179635	-1.07351462123948	6.00123399841385	14.9584652712201	3.44190495013935e-07	4.43858228355827e-05
FBgn0034909	-0.95176340866618	-0.756795713741381	-0.159097956394931	6.59899998244648	14.8779762523726	3.67063761790964e-07	4.66687968688315e-05
FBgn0040071	-0.235844034859347	0.5346159040769	0.607330953263304	5.78955599414017	14.793110367862	3.92893556526581e-07	4.88147451123572e-05
FBgn0027835	-0.669006398437217	-1.08936708346131	-0.0324929403800051	8.69463078860614	14.7849478902173	3.95475263908894e-07	4.88147451123572e-05
FBgn0039311	-2.29090506765853	0.170213378556592	0.193538889601249	4.13991129899772	14.7702602729696	4.0016518647551e-07	4.88147451123572e-05
FBgn0266581	0.0844233261468083	-1.56978996852642	-0.029180725186225	4.46726309030974	14.6974025189627	4.24296571226632e-07	5.10683353128374e-05
FBgn0051523	-0.61151055484739	-0.753732318434081	-0.264126827588845	7.61431601555301	14.6337326272216	4.46619213204837e-07	5.23392447443101e-05
FBgn0036018	0.00242378343278551	-1.39897515264753	-0.190240675439358	3.7825598831647	14.6275261219114	4.48859367216898e-07	5.23392447443101e-05
FBgn0037265	-0.319263441436281	-0.106546832530573	-0.425005863670016	5.33900485052724	14.6181928398404	4.52250037671008e-07	5.23392447443101e-05
FBgn0028546	-0.160341778879269	-0.304457033608699	-0.490606286256912	4.84703865795095	14.5832113340642	4.65196447490626e-07	5.31560548290871e-05
FBgn0024558	-0.167248080362448	-0.779579401210391	0.53937492701129	4.31955326635123	14.4812401378181	5.05172887802855e-07	5.70024457274546e-05
FBgn0250820	-0.538194009578765	-1.12736785648738	-0.491705102630316	5.14175903257753	14.3719195001825	5.52006407838381e-07	6.15180474513218e-05
FBgn0031643	0.11361277935347	-0.236719180149157	-0.462448602746375	5.55795307635554	14.3567921439103	5.58832915014134e-07	6.15193259003974e-05
FBgn0051288	1.24516498062816	-0.311509059832109	-0.587011027766985	3.06175472920631	14.3171990983408	5.77117393181115e-07	6.27667314246497e-05
FBgn0037396	-2.20533383025043	-3.03898230300646	-1.19232631134565	3.63173061413574	14.2336339182014	6.17773057197904e-07	6.63885403253033e-05
FBgn0035947	-0.521591254479129	-0.907633063000215	-0.146083247043781	5.86869629431378	14.1595866036087	6.56277972142994e-07	6.9696720641586e-05
FBgn0033741	0.0521320353503648	-1.54459315023981	0.307478876227737	4.70437945207514	14.1300590323598	6.72318602203931e-07	7.01498242819302e-05
FBgn0030305	-0.763046975066017	-1.53721420294932	0.0172392973419221	4.31686393210442	14.1232286206472	6.76086707934854e-07	7.01498242819302e-05
FBgn0286075	-0.541962605347842	-1.03734449730983	-0.460663007613161	4.21941694661005	13.9789840816164	7.60986857527078e-07	7.80616859420106e-05
FBgn0011722	-0.904223387371805	-1.1734610140064	-1.24534338701583	7.58295102133009	13.9443304316141	7.82983448497845e-07	7.94156358380904e-05
FBgn0000044	-0.183126618426873	0.324198341505565	0.761010782516093	10.3065878604179	13.7250911835034	9.38308265735365e-07	9.41123190532571e-05
FBgn0052121	1.08256415947736	1.02884006247757	0.860204734329015	2.70982989239527	13.6852598834267	9.69795076170764e-07	9.61047569480376e-05
FBgn0019938	0.00312332569501661	-1.17335213737608	0.211747132078348	4.80324337177629	13.6732949237799	9.79465784781152e-07	9.61047569480376e-05
FBgn0263321	-0.320570526621934	-2.3809856490404	-2.07908388009844	3.24170961254623	13.6418720455182	1.00534223366968e-06	9.7583057455228e-05
FBgn0033093	1.68560777572446	1.36456508916768	0.674759214176657	4.86045288963268	13.6203547692586	1.02346936818137e-06	9.82857232614174e-05
FBgn0053113	-0.195206351892203	-0.455596571745306	-0.39952905846033	9.02511549587761	13.6049696006033	1.03663797524832e-06	9.85024316059639e-05
