groupS.NS1	groupS.NS2	groupS.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0039678	-0.172243035997585	1.93987839169415	2.52763800257247	9.98730543005679	42.617503606624	3.63102747134722e-14	3.27772849838514e-10
FBgn0037288	-1.48990192688817	-0.768999623782396	-0.854667805363045	8.0665475605761	33.6561976908805	2.50808147592474e-12	1.13202257415863e-08
FBgn0266406	-4.97546929620616	-3.67825153550187	-1.84244590963454	5.1320660254244	31.4476247957578	7.96798819612371e-12	2.39756764821362e-08
FBgn0037612	2.3246702544807	2.44082065991522	1.8287326766081	5.50815219183592	29.682198838311	2.0838538588723e-11	4.70273719601005e-08
FBgn0050052	-0.469921432768951	-0.300931627160977	-0.783260199378112	7.52952610389533	28.4357609973351	4.19723721265599e-11	7.57769206372912e-08
FBgn0039321	-0.480093798015207	-0.351230939147731	-0.544151642272614	7.71439743088481	27.4983324999211	7.1950676669399e-11	1.08249793049111e-07
FBgn0033518	-4.40008240108418	-2.09577182912476	-1.16337489220371	3.70976294697373	26.0798311196987	1.66128725351515e-10	2.03589930248239e-07
FBgn0267348	-1.74896417568001	-0.989879753257733	-0.689614968056963	5.802333661603	25.9422547461004	1.8042754425456e-10	2.03589930248239e-07
FBgn0053126	-0.289110657834871	-0.22479344031129	-0.991907873159962	5.66486950650774	25.1793466894694	2.86536669491635e-10	2.8739627950011e-07
FBgn0030589	1.17130877893652	1.53310929819365	1.23487371992215	5.13069491833195	24.9334400413337	3.33176974161462e-10	3.00758854575552e-07
FBgn0038799	-2.09950169250667	-0.621760215045761	-0.629713086600914	6.17493228642591	23.7812661012712	6.83206449807186e-10	5.60664056582679e-07
FBgn0025620	-1.84486217191218	-1.10021857619821	-0.462331318742363	7.30593467740017	23.0609582930742	1.08108449550744e-09	8.13245811745471e-07
FBgn0037835	-0.654771943917078	-0.614917676281593	-0.928977572664099	6.17104662753704	22.7086898480625	1.35702285590938e-09	9.42295793868771e-07
FBgn0039849	-0.744046981389104	-1.49437230445519	-1.46767295629008	4.41849718975006	22.145676729439	1.95945568046627e-09	1.19500015728996e-06
FBgn0026563	0.960192246613828	3.60307497002566	3.5774178679176	2.6220837461781	22.1254233694468	1.98570979941835e-09	1.19500015728996e-06
FBgn0035087	-0.790367308461019	-0.868487008335387	-0.849314400093925	7.0328369045927	21.6695911277738	2.68394984747269e-09	1.44195628852119e-06
FBgn0039239	-4.42931888251835	-2.35048065075259	-1.59800295069039	2.80162642032195	21.6519873666463	2.71554856595328e-09	1.44195628852119e-06
